sport,level,section,date,time,home_away,matchup,opponent,location,league,score,result,status
Field Hockey,JV,upcoming,2026-09-18,5:15 PM,Home,vs Homestead,Homestead,Fremont Soccer Field,Non-league,,,
Field Hockey,Varsity,upcoming,2026-09-18,4:00 PM,Home,vs Homestead,Homestead,Fremont Soccer Field,Non-league,,,
Field Hockey,JV,upcoming,2026-09-21,5:15 PM,Home,vs Los Altos,Los Altos,Fremont Soccer Field,League,,,
Field Hockey,Varsity,upcoming,2026-09-21,4:00 PM,Home,vs Los Altos,Los Altos,Fremont Soccer Field,League,,,
Field Hockey,JV,upcoming,2026-09-23,5:15 PM,Away,at Prospect,Prospect,Prospect,Non-league,,,
Field Hockey,Varsity,upcoming,2026-09-23,4:00 PM,Away,at Prospect,Prospect,Prospect,Non-league,,,
Flag Football,Varsity,upcoming,2026-09-04,4:15 PM,Away,at Prospect,Prospect,Prospect High School,Non-league,,,
Flag Football,Varsity,upcoming,2026-09-09,5:30 PM,Away,at Gunn,Gunn,Gunn,League,,,
Flag Football,JV,upcoming,2026-09-09,4:15 PM,Away,at Gunn,Gunn,Gunn,League,,,
Flag Football,Varsity,upcoming,2026-09-14,5:30 PM,Away,at Mt. View,Mt. View,Mt. View,League,,,
Flag Football,JV,upcoming,2026-09-14,4:15 PM,Away,at Mt. View,Mt. View,Mt. View,League,,,
Flag Football,Varsity,upcoming,2026-09-16,5:30 PM,Home,vs Monta Vista,Monta Vista,Fremont Flag Football Field (Baseball Outfield),League,,,
Flag Football,JV,upcoming,2026-09-16,4:15 PM,Home,vs Monta Vista,Monta Vista,Fremont Flag Football Field (Baseball Outfield),League,,,
Flag Football,Varsity,upcoming,2026-09-21,5:30 PM,Away,at Cupertino,Cupertino,Cupertino,League,,,
Flag Football,JV,upcoming,2026-09-21,4:15 PM,Away,at Cupertino,Cupertino,Cupertino,League,,,
Flag Football,Varsity,upcoming,2026-09-23,5:30 PM,Home,vs Homestead,Homestead,Fremont Flag Football Field (Baseball Outfield),League,,,
Flag Football,JV,upcoming,2026-09-23,4:15 PM,Home,vs Homestead,Homestead,Fremont Flag Football Field (Baseball Outfield),League,,,
Football,JV,result,2026-08-28,,Home,vs Monta Vista,Monta Vista,,Non-league,Scrimmage,NO SCORE,
Football,Varsity,result,2026-08-27,,Away,at San Jose High,San Jose High,,Non-league,20–12,WIN,
Football,Varsity,result,2026-08-21,,Away,at Mt. Pleasant,Mt. Pleasant,,Non-league,Scrimmage,NO SCORE,
Football,JV,result,2026-08-21,,Away,at Mt. Pleasant,Mt. Pleasant,,Non-league,Scrimmage,NO SCORE,
Football,Varsity,upcoming,2026-09-04,7:00 PM,Home,vs Westmont,Westmont,Fremont Diesner Football Field,Non-league,,,
Football,JV,upcoming,2026-09-04,4:00 PM,Home,vs Westmont,Westmont,Fremont Diesner Football Field,Non-league,,,
Football,Varsity,upcoming,2026-09-11,7:00 PM,Home,vs Oak Grove,Oak Grove,Fremont Diesner Football Field,Non-league,,,
Football,JV,upcoming,2026-09-11,4:00 PM,Home,vs Oak Grove,Oak Grove,Fremont Diesner Football Field,Non-league,,,
Girls Tennis,Varsity,upcoming,2026-09-15,4:00 PM,Away,at Santa Clara,Santa Clara,Santa Clara,League,,,
Girls Tennis,JV,upcoming,2026-09-15,4:00 PM,Home,vs Santa Clara,Santa Clara,Fremont Tennis Courts,League,,,
Girls Tennis,Varsity,upcoming,2026-09-17,4:00 PM,Away,at Gunn,Gunn,Gunn,League,,,
Girls Tennis,JV,upcoming,2026-09-17,4:00 PM,Home,vs Gunn,Gunn,Fremont Tennis Courts,League,,,
Girls Tennis,Varsity,upcoming,2026-09-22,4:00 PM,Home,vs Milpitas,Milpitas,Fremont Tennis Courts,League,,,
Girls Tennis,JV,upcoming,2026-09-22,4:00 PM,Away,at Milpitas,Milpitas,Milpitas,League,,,
Girls Volleyball,Varsity,result,2026-08-29,,Away,at Santa Clara,Santa Clara,,Non-league,0–2,LOSS,
Girls Volleyball,Varsity,result,2026-08-29,,Away,at Santa Teresa,Santa Teresa,,Non-league,2–0,WIN,
Girls Volleyball,Varsity,result,2026-08-29,,Away,at Piedmont Hills,Piedmont Hills,,Non-league,0–2,LOSS,
Girls Volleyball,Varsity,result,2026-08-29,,Away,at Lincoln (San Francisco),Lincoln (San Francisco),,Non-league,0–2,LOSS,
Girls Volleyball,Varsity,result,2026-08-29,,Away,at Cupertino,Cupertino,,Non-league,0–2,LOSS,
Girls Volleyball,Varsity,result,2026-08-27,,Away,at The King's Academy,The King's Academy,,Non-league,0–3,LOSS,
Girls Volleyball,JV,result,2026-08-27,,Away,at The King's Academy,The King's Academy,,Non-league,0–2,LOSS,
Girls Volleyball,Varsity,result,2026-08-25,,Home,vs Leland,Leland,,Non-league,Scrimmage,NO SCORE,
Girls Volleyball,Varsity,upcoming,2026-09-09,6:45 PM,Home,vs Mt. View,Mt. View,Fremont Main Gym,League,,,
Girls Volleyball,JV,upcoming,2026-09-09,5:30 PM,Home,vs Mt. View,Mt. View,Fremont Main Gym,League,,,
Girls Volleyball,JV,upcoming,2026-09-12,7:30 AM,Away,at JV Spikefest,JV Spikefest,Milpitas,Non-league,,,
Girls Volleyball,Varsity,upcoming,2026-09-14,6:45 PM,Home,vs Saratoga,Saratoga,Fremont Main Gym,League,,,
Girls Volleyball,JV,upcoming,2026-09-14,5:30 PM,Home,vs Saratoga,Saratoga,Fremont Main Gym,League,,,
Girls Volleyball,Varsity,upcoming,2026-09-16,6:45 PM,Away,at MacDonald,MacDonald,MacDonald,League,,,
Girls Volleyball,JV,upcoming,2026-09-16,5:30 PM,Away,at MacDonald,MacDonald,MacDonald,League,,,
Girls Volleyball,Varsity,upcoming,2026-09-18,7:00 PM,Away,at Westmont,Westmont,Westmont,Non-league,,,
Girls Volleyball,JV,upcoming,2026-09-18,5:30 PM,Away,at Westmont,Westmont,Westmont,Non-league,,,
Girls Volleyball,Varsity,upcoming,2026-09-21,6:45 PM,Home,vs Wilcox,Wilcox,Fremont Main Gym,League,,,
Girls Volleyball,JV,upcoming,2026-09-21,5:30 PM,Home,vs Wilcox,Wilcox,Fremont Main Gym,League,,,
Girls Volleyball,Varsity,upcoming,2026-09-23,6:45 PM,Away,at Gunn,Gunn,Gunn,League,,,
Girls Volleyball,JV,upcoming,2026-09-23,5:30 PM,Away,at Gunn,Gunn,Gunn,League,,,
Girls Water Polo,,upcoming,2026-09-04,4:00 PM,Away,at Los Gatos,Los Gatos,Los Gatos,Non-league,,,
Girls Water Polo,Varsity,upcoming,2026-09-08,5:15 PM,Away,at Homestead,Homestead,Homestead,League,,,
Girls Water Polo,Varsity,upcoming,2026-09-10,6:30 PM,Home,vs Santa Clara,Santa Clara,Fremont Pool,League,,,
Girls Water Polo,Varsity,upcoming,2026-09-15,5:15 PM,Away,at Lynbrook,Lynbrook,Lynbrook,League,,,
Girls Water Polo,Varsity,upcoming,2026-09-17,6:30 PM,Home,vs Cupertino,Cupertino,Fremont Pool,League,,,
Girls Water Polo,Varsity,upcoming,2026-09-19,9:00 AM,Home,vs American,American,Fremont Pool,Non-league,,,
Girls Water Polo,Varsity,upcoming,2026-09-22,5:15 PM,Away,at Milpitas,Milpitas,Milpitas,League,,,
